ID RH;RG;CPF;Ramal;Estado Civil;Nome Completo;Login;Data de Nascimento;CEP;Data de Contratacao;Data de Demissao;Dias Uteis Trabalhados Ano Orcamentario;Salario Base;Impostos;Beneficios;VT;VR;Cargo;Bandeira;Codigos;Quantidade de Acessos;Ferias Acumuladas;Ferias Remuneradas;Horas Extras;Valores Adicionais;ID de Pessoal;ID da area;Nível;Área;COD Área;COD Nível;Quadro;Bonus;Contratacao;Descrição Nível;Tempo no Nível;Plano de Saúde;Plano Odontológico;Setor Responsável;Plano de Carreira
18;684665210;90419094811;2858;S;Isabella Bernardo;isabella.bernardo;1978-05-10;49335895;2017-10-27;0;171;8460;4230;1692;308;574,56;COIII;;QXK4553-WLP;145;60;;98;;;11;Analista;Comercial;JAA;DB;Terceiro;N;RH;;;;;;
19;456872620;80042375281;3290;S;Felipe Sousa Melo;felipe.melo;1997-07-25;35144102;2015-07-21;2018-01-07;150;4860;2430;972;308;504;OPII;;FPP1975-CAF;70;40;;55;;;10;Estagiário;Operações;JAJ;JA;Efetivo;N;Gerente;;;;;;
20;306216162;9952323392;7559;S;Pedro Fontes;pedro.fontes;1993-02-02;37298996;2011-01-29;2012-03-06;239;12499;6249,5;2499,8;176;803,04;OPII;;LGB7431-USR;146;44;;11;;;10;Estagiário;Comercial;JAA;JA;Efetivo;N;Gerente;;;;;;
21;107803754;76884371772;4076;C;Maria Lobo;maria.lobo;1975-12-31;29675378;2006-12-24;0;249;19045;9522,5;3809;264;836,64;FIV;;JWJ2767-YSO;97;31;;133;;;322;Coordenador;Operações;JAJ;DB;Terceiro;N;RH;;;;;;
22;676648702;53442435980;3181;S;Bruno Vargas;bruno.vargas;1987-03-17;45877495;2013-03-15;0;163;10726;5363;2145,2;198;547,68;COIV;;PFJ8300-SVX;108;7;;2;;;11;Gerente;Administrativo;BAC;ID;Efetivo;S;RH;;;;;;
23;698776875;44454372496;2198;S;Bárbara Spenchutt Vieira;bárbara.vieira;1997-10-02;20448128;2017-06-22;0;221;9402;4701;1880,4;154;742,56;ADI;;QAU7458-YVM;87;46;;196;;;213;Gerente;Financeiro;CBB;ID;Efetivo;S;Diretoria;;;;;;
24;190380293;80646889575;4917;S;Andre Ramos;andre.ramos;1983-06-14;47499393;2013-12-27;0;235;13024;6512;2604,8;286;789,6;OPV;;ZPQ9134-WAU;77;1;;82;;;10;Diretor;Logísitca;EDE;JE;Efetivo;S;Diretoria;;;;;;
25;669446675;32150458469;4141;S;Livia Mello;livia.mello;1985-07-06;25310016;2003-07-02;0;167;23612;11806;4722,4;264;561,12;ADV;;HLZ4890-QRM;120;46;;160;;;213;Diretor;Comercial;JAA;JE;Efetivo;S;Diretoria;;;;;;
26;762921558;10613644993;7408;C;Jéssica Neves Heimlich;jéssica.heimlich;1991-02-22;31389047;2013-07-08;0;190;16364;8182;3272,8;154;638,4;COIII;;VDR2490-DOT;77;57;;2;;;11;;;;;;;;;;;;;
27;633317875;39560733219;6002;C;Carolina Monteiro;carolina.monteiro;1991-03-19;31780433;2010-08-04;0;189;1865;932,5;373;198;635,04;FIIII;;WRY5193-OZU;99;54;;9;;;322;;;;;;;;;;;;;
28;511591702;94183063959;6939;S;Luís Werneck;luís.werneck;1991-10-21;38114990;2009-10-16;0;243;7601;3800,5;1520,2;198;816,48;COIV;;EKB6870-PBN;33;44;;97;;;11;;;;;;;;;;;;;
29;443973441;8330691531;1998;C;Cícero Barcelos Tagliari;cícero.tagliari;1978-06-02;28589632;2007-08-01;0;190;11283;5641,5;2256,6;176;638,4;OPII;;SLH6203-TXJ;32;34;;85;;;10;;;;;;;;;;;;;
30;678558573;41787164393;4059;S;Gabriela Coutinho;gabriela.coutinho;1982-09-05;20809521;2010-04-17;2017-09-29;189;12104;6052;2420,8;154;635,04;LOIII;;DEL9470-JFD;113;18;;14;;;545;;;;;;;;;;;;;
31;639216635;37634974772;2281;S;Thayná Freitas Medronho;thayná.medronho;1975-07-02;47649712;2008-09-22;0;180;9562;4781;1912,4;264;604,8;LOII;;VNG2453-DGA;125;16;;195;;;545;;;;;;;;;;;;;
32;444964987;84826119176;4931;C;Marina Silva Pacheco;marina.pacheco;1981-02-18;49055261;2002-02-26;0;188;24271;12135,5;4854,2;308;631,68;ADIII;;JUC7439-HDH;23;4;;149;;;213;;;;;;;;;;;;;
33;638732801;82400382776;3835;C;Luana Lopes;luana.lopes;1982-06-19;46700628;2016-02-02;2018-01-07;217;20218;10109;4043,6;264;729,12;ADIII;;GPT8665-PVU;80;17;;68;;;213;;;;;;;;;;;;;
34;338306501;46184061397;6053;C;Vitor Cordovil de Maglhães;vitor.maglhães;1995-07-25;32410076;2013-08-27;0;178;13652;6826;2730,4;220;598,08;OPIV;;GOS6898-NUN;55;47;;113;;;10;;;;;;;;;;;;;
35;886501538;87024456799;1949;C;Carolina Gaspar de Mattos      ;carolina.mattos;1977-03-24;36029684;2006-11-28;0;167;10078;5039;2015,6;198;561,12;ADII;;STD4596-HEB;109;46;;84;;;213;;;;;;;;;;;;;
36;534850026;32131215034;5928;S;Victor Mota;victor.mota;1971-08-22;47497691;1994-09-22;0;238;19456;9728;3891,2;286;799,68;COII;;VVK1309-OJI;22;49;;185;;;11;;;;;;;;;;;;;
37;616461796;55367561228;4178;C;Marcos Almeida Albuquerque Faria;marcos.faria;1978-02-28;44716292;2016-11-30;0;161;3398;1699;679,6;242;540,96;FIII;;CRA1678-EWX;117;25;;120;;;322;;;;;;;;;;;;;
38;140108816;37388100360;4063;S;Marcelo Amaral Coelho;marcelo.coelho;1995-05-01;24394828;2013-04-26;0;241;17475;8737,5;3495;176;809,76;OPI;;WWI4336-TYY;36;31;;173;;;10;;;;;;;;;;;;;
39;498013065;38444377165;6483;S;Tomas Guadagnino;tomas.guadagnino;1987-12-03;38928294;2005-11-28;0;222;14468;7234;2893,6;308;745,92;COI;;EQK5503-SKS;139;60;;39;;;11;;;;;;;;;;;;;
40;379781785;26777450157;6958;C;Giovana de Oliveira e Mello     ;giovana.mello;1987-04-20;44017250;2005-05-27;2006-12-17;185;7129;3564,5;1425,8;264;621,6;OPIII;;TNH4387-BVN;79;36;;2;;;10;;;;;;;;;;;;;
41;580043821;53345652611;6765;C;Leticia Mota;leticia.mota;1975-01-23;20731360;2011-12-06;2016-11-04;247;16386;8193;3277,2;198;829,92;COII;;QZB6798-HOP;95;15;;63;;;11;;;;;;;;;;;;;
42;743920592;13672177381;2469;S;Beatriz Rodrigues;beatriz.rodrigues;1987-02-04;38162448;2005-01-30;2008-06-29;184;16167;8083,5;3233,4;264;618,24;ADII;;ZTM5967-ENB;104;25;;25;;;213;;;;;;;;;;;;;
43;233651794;69598912741;2982;C;Guilherme Araujo Kelly;guilherme.kelly;1981-12-30;20491947;2003-10-12;2006-11-26;239;3319;1659,5;663,8;308;803,04;LOIV;;LTK4563-NCS;95;0;;53;;;545;;;;;;;;;;;;;
44;531613877;5343014627;2090;C;Matheus Pereira dos Santos;matheus.santos;1981-09-05;39852094;2009-05-26;0;219;17930;8965;3586;308;735,84;OPI;;KUF5904-VWS;75;56;;152;;;10;;;;;;;;;;;;;
45;971638278;97612583834;5360;C;Mariana Martins;mariana.martins;1993-04-30;29254981;2011-04-26;0;155;3374;1687;674,8;286;520,8;COII;;FYY9183-YVG;100;55;;142;;;11;;;;;;;;;;;;;
46;403255556;90743788681;6041;C;Rafael Rozental;rafael.rozental;1970-11-29;28601966;2002-04-26;0;187;20030;10015;4006;308;628,32;ADV;;PKW5555-EMJ;77;21;;81;;;213;;;;;;;;;;;;;
47;337580360;96251016348;1707;S;Rodrigo e Silva Lemos;rodrigo.lemos;1982-01-12;38756804;2000-01-08;0;232;7480;3740;1496;264;779,52;OPIII;;ZUK7881-WTQ;127;0;;156;;;10;;;;;;;;;;;;;
48;993311564;82554147473;7520;S;Marianna Pereira da Silva;marianna.silva;1997-10-08;20268909;2015-10-04;0;247;3947;1973,5;789,4;176;829,92;FII;;XJE6537-GZR;67;16;;160;;;322;;;;;;;;;;;;;
49;229987650;96835281373;6444;C;Roberto Suzano;roberto.suzano;1990-07-13;30671573;2008-07-08;0;151;24509;12254,5;4901,8;154;507,36;FIV;;WFO7622-DVW;120;50;;142;;;322;;;;;;;;;;;;;
50;885637441;27461461679;4466;S;Leonardo Silva Gomes;leonardo.gomes;1977-01-12;33558620;2005-09-05;2008-03-17;153;12394;6197;2478,8;220;514,08;FIV;;CXR9793-VZV;34;40;;77;;;322;;;;;;;;;;;;;
51;173470428;60565008263;7094;S;Matheus Sepúlveda;matheus.sepúlveda;1984-01-03;23294683;2013-06-03;0;238;12832;6416;2566,4;242;799,68;ADI;;JKJ2027-WKV;126;14;;44;;;213;;;;;;;;;;;;;
52;752348160;85198417825;2065;S;Jéssica de Morais Silva;jéssica.silva;1979-09-18;43564524;2014-11-07;0;231;20951;10475,5;4190,2;308;776,16;LOIII;;YOI8978-AAR;131;13;;114;;;545;;;;;;;;;;;;;
53;613476929;36847018907;5452;C;Gabriel Rozental;gabriel.rozental;1980-06-30;41565611;2000-04-07;2004-06-02;196;1872;936;374,4;242;658,56;OPII;;ABL7203-DSP;63;54;;25;;;10;;;;;;;;;;;;;
54;289498961;52374080491;3944;C;Patrick da Silva Farias ;patrick.farias;1994-01-29;30055064;2012-01-25;0;196;23391;11695,5;4678,2;220;658,56;ADI;;MYD2075-XEK;149;22;;76;;;213;;;;;;;;;;;;;
55;471934947;1072732223;3103;S;Marcello Venturini de Freitas;marcello.freitas;1991-07-08;24646714;2009-07-03;2010-03-01;221;3861;1930,5;772,2;198;742,56;OPIII;;FVQ9105-INE;34;26;;180;;;10;;;;;;;;;;;;;
56;441836342;70906507885;4828;S;Isabelle Tiradentes;isabelle.tiradentes;1972-06-17;47502117;1993-05-11;0;166;19297;9648,5;3859,4;154;557,76;COI;;NPD6685-WIV;114;3;;142;;;11;;;;;;;;;;;;;
57;587945722;54642088823;1302;C;Raissa Carelli;raissa.carelli;1984-11-16;30987596;2002-11-12;0;197;24482;12241;4896,4;220;661,92;OPI;;OBP9618-AYZ;86;57;;4;;;10;;;;;;;;;;;;;
58;672290514;27148931071;3543;C;Lorena Marinho;lorena.marinho;1994-02-15;38135763;2012-02-11;0;226;7049;3524,5;1409,8;286;759,36;LOII;;RZX5393-OKE;35;17;;162;;;545;;;;;;;;;;;;;
59;348351354;92249378299;6617;S;Valentina Soares;valentina.soares;1996-04-02;37063517;2014-03-29;2018-01-07;218;8743;4371,5;1748,6;198;732,48;OPV;;NDD1876-ZCV;75;4;;45;;;10;;;;;;;;;;;;;
60;473992858;43020461189;6356;S;Fillipe Tupini;fillipe.tupini;1994-03-17;47265296;2012-03-12;0;236;19379;9689,5;3875,8;286;792,96;LOII;;YYJ8161-ZZA;92;18;;174;;;545;;;;;;;;;;;;;
61;733055617;70947774668;6587;C;Michelle Zerbinato;michelle.zerbinato;1992-12-07;21433833;2015-03-09;0;154;13008;6504;2601,6;308;517,44;LOI;;DUA4194-ITB;143;4;;81;;;545;;;;;;;;;;;;;
62;821413862;83362534903;6788;C;Luiz Guarçoni Migueis;luiz.migueis;1980-09-04;47416246;2014-02-25;0;161;19843;9921,5;3968,6;154;540,96;COIII;;PHA1382-FMJ;95;9;;193;;;11;;;;;;;;;;;;;
63;226520034;58990891166;3903;S;João Monteiro;joão.monteiro;1988-04-28;25516035;2013-06-22;0;246;11983;5991,5;2396,6;264;826,56;ADII;;JLS3846-OSF;38;37;;174;;;213;;;;;;;;;;;;;
64;432815331;17507519379;2633;C;Douglas Costa;douglas.costa;1988-08-07;21987179;2006-08-03;0;176;16484;8242;3296,8;264;591,36;OPI;;NRU8306-DPZ;65;16;;21;;;10;;;;;;;;;;;;;
65;599595958;61335203433;5546;C;João Ramos;joão.ramos;1980-09-12;46803076;1998-09-08;0;150;11596;5798;2319,2;198;504;COIII;;KUB6574-VMR;135;31;;61;;;11;;;;;;;;;;;;;
66;531722083;35900521383;1522;S;Poline Limp;poline.limp;1976-04-03;21139804;2012-02-19;0;244;19441;9720,5;3888,2;242;819,84;LOI;;SGS4567-PFP;70;21;;162;;;545;;;;;;;;;;;;;
67;777593239;49303014478;1546;C;Carla Amiccuci Areias;carla.areias;1986-05-07;20982322;2004-05-02;0;247;12054;6027;2410,8;308;829,92;FIIII;;MUC8795-XTC;65;35;;91;;;322;;;;;;;;;;;;;
68;373077087;40570494309;7895;S;Fernanda Rossini;fernanda.rossini;1982-11-10;45583763;2002-07-07;0;217;17943;8971,5;3588,6;264;729,12;FIII;;PMV6244-DZH;102;40;;4;;;322;;;;;;;;;;;;;
69;630811437;22907920992;3339;S;Leandro Almeida Neri;leandro.neri;1974-03-30;44841943;2000-08-26;0;180;4811;2405,5;962,2;220;604,8;ADIII;;RGC2981-TIL;80;17;;147;;;213;;;;;;;;;;;;;
70;594348050;57007091977;7902;S;Luiz Rodrigues Chaves;luiz.chaves;1983-01-20;38160945;2001-01-15;0;174;3391;1695,5;678,2;176;584,64;OPI;;JEK4790-LVT;145;32;;157;;;10;;;;;;;;;;;;;
71;592360975;83370176564;5274;S;Leonardo Valença Castro;leonardo.castro;1989-04-05;49489965;2014-12-30;0;203;16054;8027;3210,8;176;682,08;OPII;;TDB7254-SAT;137;31;;107;;;10;;;;;;;;;;;;;
72;244866609;53557650797;7302;S;Lucas Duarte;lucas.duarte;1970-01-05;22231674;1996-04-15;0;156;11867;5933,5;2373,4;264;524,16;LOII;;WWH8576-GLA;97;56;;46;;;545;;;;;;;;;;;;;
73;714553555;58026423420;5685;S;José Rodrigues Pereira;josé.pereira;1972-10-02;44392163;2001-07-13;0;206;2439;1219,5;487,8;264;692,16;COII;;TOR4124-UEA;147;33;;190;;;11;;;;;;;;;;;;;
74;653328735;25283907888;2885;S;Átila Godoy de Melo;átila.melo;1985-02-12;33706705;2012-02-25;0;199;8831;4415,5;1766,2;264;668,64;FII;;NST2030-PTV;35;3;;12;;;322;;;;;;;;;;;;;
75;474121843;59706665923;2035;C;Nicole Marquito de Paiva Torres;nicole.torres;1997-06-08;25188908;2015-06-04;2016-09-21;205;9787;4893,5;1957,4;286;688,8;OPII;;LEQ5001-ESK;131;41;;180;;;10;;;;;;;;;;;;;
76;427388096;39608438530;2640;C;Lucas de Jesus;lucas.jesus;1985-11-22;24933118;2004-09-27;0;182;19621;9810,5;3924,2;154;611,52;ADII;;NJB1928-VMR;26;57;;18;;;213;;;;;;;;;;;;;
77;646616155;96176994998;7235;S;Bruno de Souza;bruno.souza;1973-11-15;40178855;2013-03-03;0;246;20048;10024;4009,6;154;826,56;ADII;;BLJ4436-ZDQ;59;19;;9;;;213;;;;;;;;;;;;;
78;975329320;64835286968;2323;S;Gabriel Castro Cerqueira;gabriel.cerqueira;1996-05-24;24631016;2014-05-20;0;153;19086;9543;3817,2;264;514,08;COII;;WMJ8165-DVQ;32;8;;12;;;11;;;;;;;;;;;;;
79;252474906;43561231474;1758;S;Larissa Coutinho Beltrao;larissa.beltrao;1982-10-03;38047673;2014-06-30;0;205;17207;8603,5;3441,4;198;688,8;OPV;;ZXA6905-CRS;33;5;;90;;;10;;;;;;;;;;;;;
80;856357431;8109619679;7584;S;Frederico Vidal;frederico.vidal;1985-05-23;39486682;2010-05-31;0;154;7833;3916,5;1566,6;220;517,44;COII;;IOJ6041-JEL;38;45;;86;;;11;;;;;;;;;;;;;
81;778875609;48887229405;3259;C;Giuseppe Fernandes;giuseppe.fernandes;1981-01-01;27566227;2010-02-13;0;228;12377;6188,5;2475,4;308;766,08;LOIII;;PXQ3031-CLK;55;5;;60;;;545;;;;;;;;;;;;;
82;325916532;84926158288;1463;C;Rafael Soares dos Santos;rafael.santos;1987-02-04;43050334;2005-01-30;2010-04-17;156;6677;3338,5;1335,4;264;524,16;FIIII;;LTM9276-UTH;121;47;;148;;;322;;;;;;;;;;;;;
83;609252585;86353701624;5233;S;Larissa do Nascimento Lima;larissa.lima;1987-11-19;46032692;2007-09-07;0;198;6708;3354;1341,6;198;665,28;ADI;;OGF6863-XQK;146;21;;59;;;213;;;;;;;;;;;;;
84;237793259;51774666970;7677;S;Fernanda Castro Morett Ceppas;fernanda.ceppas;1985-01-10;42283072;2008-12-27;0;175;9326;4663;1865,2;220;588;LOII;;III5029-LMU;89;50;;123;;;545;;;;;;;;;;;;;
85;588172925;16582949916;2631;C;Rodrigo dos Santos Villares Vianna;rodrigo.vianna;1980-08-26;25378805;2001-10-19;0;243;20377;10188,5;4075,4;286;816,48;OPI;;DTB8469-QRT;37;38;;74;;;10;;;;;;;;;;;;;
86;973208232;95043372192;4743;C;Felipe Jordão Teixeira;felipe.teixeira;1988-05-20;39894941;2006-05-16;0;205;9062;4531;1812,4;308;688,8;ADI;;ACH6405-MLG;40;9;;67;;;213;;;;;;;;;;;;;
87;964370969;10054001100;1745;S;Luiz Rodrigues de Souza;luiz.souza;1976-10-01;29604908;2004-07-01;2012-08-14;151;11613;5806,5;2322,6;264;507,36;ADIII;;APV6099-AHQ;111;38;;73;;;213;;;;;;;;;;;;;
88;876700065;39394659681;4473;S;Aline de Souza;aline.souza;1981-09-06;45181737;2011-03-31;0;154;4182;2091;836,4;286;517,44;ADIV;;KAT9516-NRF;117;37;;93;;;213;;;;;;;;;;;;;
89;233923051;20250511364;7936;C;Roberto Leite;roberto.leite;1999-10-19;27207970;2017-10-14;2018-01-07;150;18442;9221;3688,4;242;504;COIII;;JCA2930-OQA;23;5;;19;;;11;;;;;;;;;;;;;
90;887626776;36754977877;1952;S;Bruna Tavares Vasconcelos;bruna.vasconcelos;1980-10-01;20922600;2017-08-28;0;176;12101;6050,5;2420,2;176;591,36;ADI;;WLJ3935-FTH;37;39;;103;;;213;;;;;;;;;;;;;
91;933126418;53299149773;7759;S;Luana Stockler;luana.stockler;1989-07-24;48130849;2007-07-20;0;247;2247;1123,5;449,4;264;829,92;COIII;;FCS8459-KGM;87;10;;69;;;11;;;;;;;;;;;;;
92;633403160;77304603107;5359;S;Alberto Ruzza de Carvalho;alberto.carvalho;1980-06-08;40694508;2007-10-20;0;229;15433;7716,5;3086,6;308;769,44;OPI;;PWO4177-IJL;43;13;;121;;;10;;;;;;;;;;;;;
93;593399215;99686161948;6490;S;Rafael Hollander;rafael.hollander;1998-08-26;26900299;2016-08-21;0;225;4933;2466,5;986,6;198;756;FIII;;RMY9279-EYU;37;45;;171;;;322;;;;;;;;;;;;;
94;526758863;69895817206;3060;C;Marina Vasconcelos de Sousa;marina.sousa;1974-03-10;27386367;2004-08-03;0;229;23792;11896;4758,4;220;769,44;OPIII;;RHP4277-IYP;115;35;;145;;;10;;;;;;;;;;;;;
95;343497029;85220225281;5623;C;Amanda Ferreira;amanda.ferreira;1999-06-30;49319901;2017-06-25;2018-01-07;181;12946;6473;2589,2;286;608,16;OPIII;;EZB7956-PRV;94;16;;124;;;10;;;;;;;;;;;;;
96;927070739;24497830089;7131;C;Daniel Thuler;daniel.thuler;1977-10-05;43476160;2004-03-15;2005-03-07;204;2952;1476;590,4;286;685,44;OPII;;VSF2348-RTV;55;12;;113;;;10;;;;;;;;;;;;;
97;602013614;61274119929;4257;C;João Fagundes;joão.fagundes;1997-06-05;22471851;2015-06-01;0;185;22386;11193;4477,2;264;621,6;OPI;;DTO3596-PFP;20;4;;54;;;10;;;;;;;;;;;;;
98;117694466;37828340622;1888;C;Brenda Lopes;brenda.lopes;1974-03-27;43530569;2010-12-30;0;155;5026;2513;1005,2;242;520,8;COIV;;BSP8251-DKQ;124;39;;195;;;11;;;;;;;;;;;;;
99;509679525;85240340884;4719;C;Rafael Viana Santos;rafael.santos;1989-10-17;31298290;2011-11-14;0;206;18763;9381,5;3752,6;154;692,16;ADIII;;WZS2359-MIK;74;25;;23;;;213;;;;;;;;;;;;;
100;865518735;43165902894;2245;S;Juliana Vieira Filho;juliana.filho;1970-08-22;25475749;2004-11-26;0;177;1961;980,5;392,2;286;594,72;OPIII;;CBV8647-LZO;22;23;;98;;;10;;;;;;;;;;;;;
101;694331072;9003887147;5102;C;Victoria Nascimento Viríssimo;victoria.viríssimo;1970-05-03;27741357;1997-01-06;0;179;21647;10823,5;4329,4;308;601,44;LOII;;UTD4893-XXU;54;32;;164;;;545;;;;;;;;;;;;;
102;286981266;67211879291;1404;C;Adriano de Souza;adriano.souza;1993-12-11;35984704;2011-12-07;0;151;2378;1189;475,6;220;507,36;COI;;CMW7923-SYL;136;59;;158;;;11;;;;;;;;;;;;;
103;686523389;99456233287;6395;C;Rodrigo Barreto;rodrigo.barreto;1986-02-26;37900471;2004-07-02;0;168;5799;2899,5;1159,8;286;564,48;COIV;;SEH9740-ENV;50;27;;171;;;11;;;;;;;;;;;;;
104;150580874;91737639304;6069;S;Vinícius Maluf;vinícius.maluf;1982-11-07;41629679;2007-06-15;2013-03-17;210;21660;10830;4332;154;705,6;COI;;FJB5293-ACY;120;33;;26;;;11;;;;;;;;;;;;;
105;415507616;30994676682;7903;S;Roberta Vaz;roberta.vaz;1992-04-18;28302092;2010-04-14;0;208;21315;10657,5;4263;286;698,88;COI;;ZFI1637-CCQ;45;17;;161;;;11;;;;;;;;;;;;;
106;340805214;87543439209;4523;C;José Cardeman;josé.cardeman;1997-12-05;29389562;2015-12-01;2018-01-07;245;4626;2313;925,2;242;823,2;FIIII;;FOR5614-QHB;132;22;;175;;;322;;;;;;;;;;;;;
107;394640733;75486328474;5602;S;Matheus Garcia Borges;matheus.borges;1979-04-02;31761244;2002-07-16;2010-05-07;183;14200;7100;2840;308;614,88;LOII;;EHE6645-ZFG;40;12;;126;;;545;;;;;;;;;;;;;
108;958591003;66328708348;7044;C;Guilherme Rocha Venancio Alonso Da Silva;guilherme.silva;1992-11-24;28872553;2016-11-17;2017-10-02;194;23323;11661,5;4664,6;220;651,84;ADV;;NNU2293-RHK;135;3;;164;;;213;;;;;;;;;;;;;
109;177480700;12078625607;4879;C;Bruna Calmon;bruna.calmon;1972-01-21;20894454;1991-08-20;0;186;15076;7538;3015,2;242;624,96;LOIV;;JEW9356-YGT;146;0;;41;;;545;;;;;;;;;;;;;
110;137913886;8904407827;7747;S;Higor Frossard;higor.frossard;1998-07-28;27881248;2016-07-23;0;240;5556;2778;1111,2;264;806,4;OPI;;BVR6040-PKW;148;9;;79;;;10;;;;;;;;;;;;;
